,CUSTOMER_NAME,REVIEW_TITLE,REVIEW_COMMENTS,RATINGS,SOURCE,OVERALL_SENTIMENT
163,Rose05,Look elsewhere,"I would consider soundcore over JBL. I was working and using these buds. Unfortunately I had some interference with the printer of all things. Also the button customization is poor. Not worth the black Friday sale of $75+ whereas with soundcores Liberty 4 NC, at $69.99 MSRP, you get better audio and customizable buttons.",2,jbl,Positive
164,affectionate_robinson,Jbl live pro 2,"Jbl live pro 2 twos earphones ,wow these are great earphones love the packaging and the wireless case fantastic piece of kit by Jbl , the fast. Charge and and the 40hour battery time work great especially as I,m using these at the gym everyday and the sound is fantastic well done Jbl your done a great job once again",5,jbl,Positive
165,Hmicc,Great for Teens - ideal gift material,"Easy to use but the sound isnât great when comparing to âpremiumâ products.

I think this should be marketed at teens, as theyâre good earphones for the price but not quite high end.

The build quality is up there, they seem like they could cope with being dropped. The case is very sleek and looks very good.",4,jbl,Positive
166,Click182,"Fall out, no matter what i try.",I have really tried to like these earbuds however i have tried every size ear bud plug provided in the set and they beep and fall out every time. The tap feature is also difficult to use as its difficult to find the right place to tap. Im upset because they're basically new and i cant use them.,2,jbl,Negative
167,Vineet,Absolute Best!!,"It is absolutely the best one I have used so far. Amazing sound quality, the best one I have found with bass. I am completely surprised by noise canceling, well they has 3 microphones per ear piece, I expect no less. I mostly use for music, but with this mic quality I am very impressed.",5,jbl,Positive
168,Mali1,"Great earphones, except for one thing.","I bought these a few months ago and they were perfect. Noise cancelling is amazing and really just removes everything around you. The ambient aware function is great and makes you forget theyâre in your ears while talking to someone. Sound Quality is amazing, everything is crystal clear, very high bass levels without ruining the audio. Thatâs all great.

The issue is that, no matter what audio is being played, or the battery level, or distance from the device, the earphones seem to randomly cut out every 5 minutes or so for just 2 seconds, not a huge problem but itâs just really annoying and takes you out of whatever expereince youâre in. No matter what Iâm connected to, my phone, PC, whatever it always happens. But it seems to happen much more frequently on PC going up to once every 20 seconds or so. I know itâs not my devices because surely an iPhone 11 has a good bluetooth reciever. 

Was going to buy a pair of headphones a while after I bought these but because of this issue I didnât incase it happens again.",3,jbl,Negative
169,Old school guy,Why do I need an app?,"I cant pair to my headphones because i dont have the app but i cant open the app because my headphones arent paired...if I had known I needed an app to use these, I would have gone with something else...why has everything gotta be 'connected' these days? Garbage",1,jbl,Negative
170,Lodogg23,Not 40 hours.,"These earbuds have a really great sound. But 40 hours? No! At best the earbuds will only last up to 6 hours between charging and that's straight out the box. Not after months of charging. Add to that, talk time really and drastically reduces battery life.",3,jbl,Negative
171,Jagga,Great,This is the best noise canceling and perfect calling for Busey routes perfect fit overall all features is fantastic and price is best for others big brands Their price is too high and no features which you get live pro may this is very good tws Wow,5,jbl,Positive
172,JuliaSv96,"Amazing, top best headphones","I've been using them for almost a month and I can't be any happier! They even survived the test when I was riding the bycicle and running after the bus like a mad one) The one I dislike that I can't turn the volume up.
Thank you, JBL! 5 out of 5",5,jbl,Positive
173,winterflower777,Good quality headphones,"I received the headphones one week ago. Since then, I used them daily on my evening walks. First of all, the connection of the headphones to my iPhone was done within seconds with no problems at all. Moreover, every time I pick them up from their box, the connection is established automatically, same goes for putting them back inside the box. Especially when putting them back in the box, they always âclickâ in their correct charging spot, thereâs no need to worry that they might not charge, as I had the problem with my old JBLs. 
The sound quality and the fit of the phones in my ears is also excellent. I never had the feeling they would fall out so far, and my evening walks are always around one hour long, so I guess they wouldnât have fallen out during longer wearing periods. The battery is also very durable as I didnât need to charge the box so far. So all in all, I am very happy with the headphones and can recommend them to anyone with the same needs as me (good sound quality, longlasting battery, easy charging function, good fit in the ears).",5,jbl,Positive
174,DrcjL,Not a Proper Fit,"Although they sound and the functions are very convenient,  do not sit in my ear properly and out . I have tried different bud sizes and different to see if it help, but unfortunately they continue to fall our.",4,jbl,Negative
175,TechfreakFFM,Sound to go ;),"Pros:
-	Good noise cancelling
- 	the storage box, because can be very easy to open the lid
-	you can remove the in ears super easy without breaking your fingers - well done JBL

Contra:
-	For me I find none",5,jbl,Positive
176,Darrenb84,Excellent,"Excellent earbuds, I usually have a issue with them falling out, but these are great stay in, and the noise cancellation is great. Aswell as the sound quality. They are by far the best ear buds I have used.",5,jbl,Positive
177,Quebec Goth,Great value if you do no want to spend much,"Works great, great flat quality that can be tuned with an equalizer. Excellent noise cancelling and good call quality. Great waterproofing, I take showers with it and even dropped in the tub and not broke",5,jbl,Positive
178,mrE,Great ear buds,"After trying many different type of ear bud I came across these. They fit really well in your ears, have good noise cancelling and they feel premium. Also to top it off they have really good battery life.",5,jbl,Positive
179,Asteri,"Good features, need improvement on stay connected","Bought this almost a year ago. Love the sound, love that they are almost unnoticed (black), love the voice when on call, love the battery time. I don't like that connectivity drop outs.",4,jbl,Positive
180,PukinDogs,Frustrating BT pairing,"The Good: Good sounding, comfortable.  The Bad: Impossible to switch to another device and back, WAY TO HARD. Uninstall the app, reinstall try to pair them just way to frustrating.",2,jbl,Negative
181,,Very Impressed,Having had my Apple Air Pods stolen I did quite a bit of research. These are great. Cheaper with better sound. Company were great as I ordered two pies by mistake. Thank you,5,jbl,Positive
182,Disappointed Customer 201,Even 50% off canât make this deal worth it,These sound like garbage; very poor sound quality.,1,jbl,Negative
183,BIG_BOY92,BETTER THEN AIRPODS PRO'S,"REPLACEMENT FOR MY AIRPODS 

BETTER SOUND NOISE CANCELATION & TALK THRU 
YOU CAN CUSTOM THE EQ AT YOUR DESIRE.
6 MICS 
THE PRICE WAS DEAL BREAKER I RECOMMEND THIS PRODUCT",5,jbl,Positive
184,Landjet,Great JBL sound,"Lives up to JBL sound, the treble with the equalizer in the app isnât as crisp as I would like, but still leaps and bounds above AirPod pro buds that I also have",5,jbl,Positive
185,Mode,Batteries,"I don't know how they say they last 10 hours, they download for me after 5 hours in conversation, or I don't know how the configuration that I should do will be",3,jbl,Negative
186,nyah,Amazing,"bought these a while ago, wouldn't go to apple headphones. they work so well and noise cancelling is a dream! they don't take long to charge and last ages",5,jbl,Positive
187,Melissa B,Disappointed,The left ear bud will not charge at all. Super disappointing because these were a Fathers Day gift and now I have to return them and go somewhere else.,1,jbl,Negative
188,Zoe Duch,Faulty earbud,I bought these and loved them but the left earbud completely stopped working and won't connect or even turn on. I've only have them for about a month.,2,jbl,Negative
189,JY1234,JBL Live Pro 2,"Bought these a few weeks ago. Very comfortable. So far the battery does well. Very good sound quality. Being on sale, felt like it was a good value.",5,jbl,Positive
190,Dazza73,Fantastic noise cancelling,Brought this product in April. Very comfortable. Love all the functions on it. The fast charge case is very handy. Great for people with small ears,4,jbl,Positive
191,MaxRoadWarrior,Great sound,"Had been shopping true wireless earbuds for a long time. These had all the features I wanted, and the sale price made the decision easy!",5,jbl,Positive
192,Mark,Excellent quality and sound,"Excellent quality and sound, tried the others for twice the price and sold them, these are the ones I am keeping, great value",5,jbl,Positive
193,Connor19,Very good product,"Cool features, noise cancelling is very good and the companion app is easy to use. Sound quality is very good for the price",5,jbl,Positive
194,Noah dubÃ©,Noise canceling,"I love them. Use it everyday and i can tell that the noise cancelation works super good. Excellent product
Jbl over Apple.",5,jbl,Positive
195,Happy1,"Great buds, good price","Love my JBL Live Pro 2 earbuds. Great sound, great noise cancelling feature, very happy to recommend them to others",5,jbl,Positive
196,Agn24,Great sound,Highly recommend. Sound quality is what is expected from JBL. Worth the price for the features it provides.,5,jbl,Positive
197,nurse947,,I brought this for my husband as a gift for our anniversary. He picked it out because he knows it is good.,5,jbl,Positive
198,Waste of time,They connecting to Apple Watch.,They do not connect to my Apple Watch so they are no better than some old wired based headphones.,1,jbl,Negative
199,Zoe0,Love them,"Brought this product about 3 weeks ago, they are amazing, would definitely recommend buying! :)",5,jbl,Positive
200,,Great features,"Great sound, but the buds do not stay I'm my ear. I've tried all tips and they just fall out.",2,jbl,Negative
201,mastic92,Great product,"I am so happy with my purchase. Great quality, design and conford  all that for fear price ð",4,jbl,Positive
202,Amos,Very good sound,"This is indeed a very good product.  Well designed with high-quality, especially the bass.",5,jbl,Positive
203,Mal,Very good earbuds,Yeah they work perfectly and have some great range/battery life can't go wrong with these.,5,jbl,Positive
204,annaj,Great Earbuds!,I bought this a month ago and am so happy that i did.Good price. Definitely worth it,5,jbl,Positive
205,Landman3500,They are not good enough,I got these about a year ago and donât use them much and they stopped working.,1,jbl,Negative
206,ssav,Great ear buds,"Excellent sound, companion app works great, and fantastic noise cancellation",5,jbl,Positive
207,Manu730,Get these!,"Amazing earphones sound quality, comfort, and noise cancellation.",5,jbl,Positive
208,Draven air pods,Great product,I love these ear buds  I absolutely love the noise canceling,5,jbl,Positive
209,Allybinu,Wonderful machine,"Excellent product, Useful features, Connectivity super",5,jbl,Positive
210,Milty,Jbl rule,These headphones will bring happiness in to your life,5,jbl,Positive
211,edwards,Amazing battery life!,Really solid carry case. amazing battery life too!,5,jbl,Positive
212,Ray,Highly Recommend,Great sound and easy to use. Just what I wanted.,5,jbl,Positive
213,AGA,JBL - JBL Live PRO 2,"great headphones ,good quality",5,jbl,Positive
214,Noscar,No fuss. easy & straight forward,Does what it said it will do,4,jbl,Positive
215,Santa_Vanessa,Epic stuffðð,"Bought JBL pod's, very good.",5,jbl,Positive
216,R05,Alright,Alright for Â£100 or so,3,jbl,Positive
217,Caz63,Great Sound and Quality,"I tested these jbl pro 2 ear buds for a couple of weeks and  I am really impressed with the sound and quality of them. They come in a slim box, inside you have the case, instructions, usb c charger cable. Once all set up and connected to my iPhone i was so impressed! the sound quality  is fantastic, I was really impressed the noise cancelling is fantastic works really well and you canât hear any noice from around you which I was surprised with, the sound is perfect no distortion when on loud. they connected easily using  Bluetooth to my iPhone with minimal set up which saves me time. They really are easy to set up and connect so you can soon listen to your music and get on with your day. The ear buds also have Ambient sound which means that you can hear noise around for example walking and you can still hear your music along with the traffic and other sounds which has been fantastic when out walking. The case is a great size so easy to store away in your pocket, the ear buds battery can last a fantastic 8 hours with up to 40 hours charging time in the case, it also comes with usb c charging cable to recharge the ear but case. I Would highly recommend the ear buds they are great value for money and definitely do as good as the expensive ear buds on the market.",5,jbl,Positive
218,Gintare J,Great sound,"This review is coming from someone who is still reletavely new to the world of earbuds. The best part of these headphones is the quality of sound. It is truly noise cancelling and the base is great. There is an option to turn noise cancelling off which is great for when you need to be able to hear sound around you. Bluetooth connection is super fast. I was able to connect to the earbuds in a matter of seconds. 
I have small ear holes and usually struggle for these type of earbuds to stay in however I found it wasn't a problem and they stayed in using the smallest fitting silicone earbud cover.
Worked great with calls, others could hear me perfectly and vice versa, which is the feature I'm planning to use it a lot for
Cons: it will take me a little while to get used to all the earbud touch features and remembering how different touches change settings
Not a fan of the feature where music gets turned off if one earbud is out of the ear. You can manually turn it back on and then just have one earbud in. However when I was jogging and only wanted one earbud in, then manually turned the music back on, the earbud in my pocket kept turning music off. It's not a big problem now that I'm aware of it and maybe this is a standard feature for most earbuds these days?
Overall I'm very happy with these and it will serve me great for the purposes intended.",4,jbl,Positive
219,BMod,Great sounds and great battery life!,"I got these a few weeks ago and so far they have been great, I use them for a while most days and still havent run out of charge so I  am very impressed with the battery. It connected to my phone and was set up within a few seconds, I barely had to do anything and I was good to go!
I tested out the different sized earbuds and they fit really well compared to other ear buds I have tried. I forget that I have them in. 
I wasn't expecting much from the noise cancelling function but the moment I turned it on, the sound of cars was severely reduced. It can also be customised to your ear using the app which improves it further. I have never used an ambient noise feature before this I coud leave the buds in but still clearly pick up on voices around me if I was speaking to someone so saves me from trying to remove the buds and lose them everytime I speak to someone. 
The sound quality is great, it has spoilt me now as I won't be able to go back to the cheaper headphones I had before. Same goes for the mic, people could hear me clearly although slightly less so when I was outside walking, however I could hear them better than they could hear me. 
They are easy to use as you can tap on the buds themselves for the most common changes such as tapping once on the left for ambient aware or noise cancelling, twice for picking up calls or hanging up, tapping once on the left for play/pause etc. Also if you take the buds out of your ear it pauses your music. 
The only downside I can find and it is very minor is that it is sometimes easy to accidentally press the bud and change a setting when you are just trying to adjust or brush past the bud. 
Overall I would highly recommend these, I have tried out a few before purchasing these and found the quality and features on these to be much better than others that are similar but from different brands.",4,jbl,Positive
220,Janka,Great example of headphones,"My experience with the JBL Live Pro 2 earbuds has been nothing short of exceptional. From the moment I unboxed them, I was struck by their sleek design and premium build quality. These earbuds not only look great but also deliver on performance.

The sound quality is where the JBL Live Pro 2 truly shines. With their high-resolution audio capability, I was treated to a listening experience like no other. The sound is rich, detailed, and balanced, making it a joy to listen to my favorite tracks. Whether it's thumping bass or crystal-clear vocals, these earbuds handle it all with finesse. I also found them to be superb for taking calls, thanks to the clear call quality and effective noise cancellation.

One of the standout features is the active noise cancellation (ANC). It immerses you in your music by effectively blocking out ambient sounds. This is a real game-changer, especially when you want to focus on your music or simply enjoy some peace and quiet.

Comfort is another aspect where the JBL Live Pro 2 shines. The earbuds fit snugly and comfortably in my ears, even during extended listening sessions. This is crucial for all-day use. The long battery life is impressive too; I didn't have to worry about recharging them frequently.

The touch controls on the earbuds are intuitive and convenient, allowing me to adjust volume, skip tracks, and answer calls with ease. They seamlessly integrate into my daily routine.

In summary, the JBL Live Pro 2 earbuds have become an integral part of my daily life. The combination of superb sound quality, effective noise cancellation, comfort, and convenient controls makes them a top-notch choice for wireless earbuds. Whether you're a music enthusiast, a frequent traveler, or simply in need of reliable audio companions, these earbuds are worth every penny. They have set a high bar for what I expect from audio equipment, and I couldn't be more satisfied with my purchase.",5,jbl,Positive
221,Yogesh Naik,Best in the market!,Amazing product and price. You can compare JBL live pro 2 performance with Bose QC30.,5,flipkart,Positive
222,BIBHU PRASAD GANTAYAT,Just wow!,Excellent and better than Apple Airpod and Samsung Galaxy 2 Pro. The app is much better than from any other brand. After careful review I found these to be of TRUE Winner,5,flipkart,Positive
223,Azhar Nazar,Good choice,"Satisfied good sound great features Anc , talk through amazing .But the price is bit high",4,flipkart,Positive
224,Shivam Srivastava,Great product,nice product and sound quality,5,flipkart,Positive
225,Shivam Agarwal,Really Nice,"Audio Quality is Good.
Fast pairing.
Good Quality of voice on call.
6 mic technology is good.
ANC feature is good.

but Backup is not as much expected as mention on box .(5 to 6 hour backup)",4,flipkart,Positive
226,Swapnila Naik,Does the job,"Not happy.ð¡ Because ear fitting was not good..
On this prize
My expectation was very high very disappointed
Thank you JBL for wasting my money",2,flipkart,Negative
227,Shanmugam,Just wow!,Except one disadvantage it outshines every area.Noise cancellation not working when connected to laptop and as a result with 6 mics built in it clearly transmits noise to opponents.otherwise this is top notch sound quality matches airpods pro 2 and jbl sound will never disappoint you in any type of music,5,flipkart,Positive
228,Muzammil Shaikh,Could be way better,"Was working good but suddenly anc started bugging. Now 1 side of the bud doesn't activate anc. Other side doesn't turn off voice aware. True anc became more like a hoax.

Using in mono mode doesn't activate anc at all during calls.

Good for music. Bad for calls.",2,flipkart,Negative
229,Yaseen Mac,Does the job,Overall okay ð,3,flipkart,Positive
230,Abu Taleb,Perfect product!,"Its is vary good product.. Sound quality is good.
Awesome.",5,flipkart,Positive
231,sandip patel,Terrific purchase,"I used sound core early,but JBL proves that no can beat them.Dip bass 100% ,even in ANC proper sound clearty is there.must buy",5,flipkart,Positive
232,Prem Harish Chettariyil,Best in the market!,"Best purchase of 2023, everything about this earbuds is so amazing! The built quality is so sleek and glossy. Sound quality, various modes that's available, individual customization was all to the mark. Best sound experience ever.",5,flipkart,Positive
233,Srikanth Reddy,Best in the market!,these buds are working very well with my iphone 14. it is supporting touch controls and siri as well.,5,flipkart,Positive
234,Adarsh S Victor,Great product,Very good product,5,flipkart,Positive
235,Shivansh Dubey,Worst audio calling experience,"I specifically purchased this product for a high quality calling experience, since product has highlighted having crystal clear calling experience with 6 mics etc .... total let down. Most of the time end user is not even able to hear properly.",2,flipkart,Negative
236,R.Chandra Sekhar,Did not meet expectations,Sound quality is very good. A deep base is good. Volume control does not work properly. Wind noise is loud while riding a bike. Call quality is better. App not working properly after update. Sound clarity unknown when editing equalizer bands will be known after saving.,1,flipkart,Positive
237,Sirish Shivakumar,Decent product,"Sound quality, build and bass are amazing! Unfortunately thats were the good part ends! Connectivity, functionality of the product lacks a ton. Has frequent connection drops and audio stutter/black outs. Has the gesture to toggle between noise cancelling and ambient sound profiles and this gestues keeps getting reset and wont toggle/switch to noise cancelling profile.
Feels like JBL was in a hurry to release a unfinished/untested product to the market. Do not recommend this, there are a ton of better earphones for 14k or maybe even better performing ones for 1/4 its price!",3,flipkart,Negative
238,noor basha,Very poor,"Unhappy, disappointed,
Sound quality is worst, not able to watch movies with this Sound, anc calling options are also not good, wasting money and time",1,flipkart,Negative
239,Flipkart Customer,Excellent,Sound quality Great and good ANC support,5,flipkart,Positive
240,Flipkart Customer,Useless product,Does not live up to the promise of pristine calls and effective microphone. Don't purchase for calling purposes,1,flipkart,Negative
241,Prasanth K R,Great product,Nice product,5,flipkart,Positive
242,Flipkart Customer,Wonderful,What aa bass yar super bass nice earbuds ilikeed mostly,5,flipkart,Positive
243,jerot mara,Highly recommended,I love jbl,5,flipkart,Positive
244,Flipkart Customer,Terrific purchase,Awesome product,5,flipkart,Positive
245,Sanjeev Mittal,Highly recommended,"Excellent, superb",5,flipkart,Positive
246,Prakash Royal,Excellent,Good Ear buds Go For it ..quality exlant and Clear sounds.,5,flipkart,Positive
247,Anil Kirvadi,Awesome,This is one best alternative for an Apple iPods.. the app and its features are awesome.very comfortable fit,5,flipkart,Positive
248,Jayant Hingorani,Simply awesome,"One of the best TWS, I've ever used.",5,flipkart,Positive
249,Flipkart Customer,Brilliant,Great product.love the sound quality and great ANC and awesome battery backup,5,flipkart,Positive
250,B.KESHAVA,Absolute rubbish!,WASTE OF MONEY.,1,flipkart,Negative
251,Randeep kumar,Horrible,Worst purchase and don't purchase it from Flipkart.,1,flipkart,Negative
252,Tarique Jamal,Not recommended at all,"There is no doubt sound quality is very good, battery backup is very good but the worst thing is it's falling down from ear after 1 or 2 minutes, I was changed lot of bud tips but there is no benifits. it's not stay in ear and falling down again and again, so my opinion is this worst earbud after pay a lot. I was wrote the email to customer service about this issue but there no satisfied reply.",1,flipkart,Negative
253,ARUN Das,Don't waste your money,Compare price bad quality,1,flipkart,Negative
254,Flipkart Customer,Simply awesome,Thanks to Flipkart as I was able to purchase a valuable product which seemed really sustainable to me.,5,flipkart,Positive
255,Hitesh Kumar,Nice product,"Sound wise very good good base
But fitting is not right I have tried all ear buds given in box but nothing work.every time I wear this buds I feel it is about to fall anytime,infact when u use during running or even walking it falls easily.
Even in sleeping position u have to adjust buds frequently that so annoying.",4,flipkart,Negative
256,GYANARANJAN SINHA,Best in the market!,Very good product in this range,5,flipkart,Positive
257,Shailesh kumar Singh,Excellent,Super,4,flipkart,Positive
258,Raju Kumar,Nice product,Exlent,4,flipkart,Positive
259,Flipkart Customer,Wonderful,Good product,4,flipkart,Positive
260,Rijul,Brilliant,Amazing pair,5,flipkart,Positive
261,Flipkart Customer,Brilliant,Very good product and super,5,flipkart,Positive
262,Sayak Samanta,Utterly Disappointed,Very bad product,1,flipkart,Negative
263,Kalpesh Kadam,Excellent,Best Noise cancellation in an earbuds till date,5,flipkart,Positive
264,Badri N,Nice,Battery backup worst,3,flipkart,Negative
265,siva kumar,Worth the money,It's a perfect gadget for music lovers ð¶ðµ,4,flipkart,Positive
266,Flipkart Customer,Simply awesome,Very good,5,flipkart,Positive
267,Sunil Arjun,Must buy!,"Super vocal end troubles
Bass quality asome
deign build quality superb ð¥",5,flipkart,Positive
268,Shane Geo,Brilliant,"Very good product for the price, I got for 8k. ANC is slightly poor. Major issue is when using the buds in mono other than the equaliser none of the other features work.",5,flipkart,Negative
269,Iai Majaw,Awesome,Nice earbuds,5,flipkart,Positive
270,Shailesh Varma,Best in the market!,Music lover bay these product,5,flipkart,Positive
271,Darshan Patel,Super!,Best product,5,flipkart,Positive
272,Naveen Panchal,Classy product,Amazing product thanx JBL,5,flipkart,Positive
273,Prasad Chavan,Value-for-money,Nice ð,4,flipkart,Positive
274,Govindaraj B P,Simply awesome,Very good sound quality and call quality ð,5,flipkart,Positive
275,Rohit Pandey,Good quality product,A very premium quality product. I love the music without distortion but this tws dont have that much of loudness as i expected from jbl rest everything is excellent.. jbl should increase loudness of this buds,4,flipkart,Positive
276,Rupesh Raj,Good choice,"I m expected one more point sound, to experience wow feeling",4,flipkart,Positive
277,Bhupendra Thakur,Must buy!,Fantastic,5,flipkart,Positive
278,Mari Kumar,Awesome,Awesome product worth for money,5,flipkart,Positive
279,Dr sandeep koshy mathew,Simply awesome,As JBL as it goes.. Great,5,flipkart,Positive
280,Flipkart Customer,Worth every penny,I like it,5,flipkart,Positive
281,Flipkart Customer,Value-for-money,Anc could be better,4,flipkart,Negative
